Summary 2013,Abduction,Arrest/Detention - Child Sex,Arrest/Detention - Drugs,Arrest/Detention - General,Arrest/Detention - Immigration,Child Abduction,Child - Access,Child Custody,Death - Accidental,Death - Execution,Death - Murder,Death - Natural,Death - Suicide,Death - Unknown,Death - Open,Death - Road,Forced Marriage,Hospitalisation,Missing Persons,Psychiatric,Psychiatric (Diagnosed),Psychiatric (Undiagnosed),Mental Health,Rape,Assault - Sexual,Accident - Air,Accident - General,Accident - Marine,Accident - Rail,Accident - Road,Accident - Ski,Assault - General,Assistance,Info. (local),Assistance,Information (UK),Assistance,Loss,Assistance,Medical,Assistance,Theft,Deportation,Disaster,Disaster,Natural,Dispute,Domestic Violence,Estates,Evacuation,Extradition,Financial Transaction,Hijacking,Injury,Miscellaneous,Reluctant Sponsor,Repatriation,Repatriation,Medical,Repatriation,Non-medical,Shipping,Transfer from Crisis,Welfare,Welfare/Whereabouts,Whereabouts,Female Genital Mutilation,Passport LSR,Notarial Acts,ETDs,Complaints,Bouquets,Fee Bearing Services,Consular Enquiries
Bilbao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,0,0,7,39
Bishkek,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,228
Bogota,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,5,10,0,0,29,232
Bordeaux,0,0,5,5,0,0,0,0,5,0,0,5,5,11,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,14,10,21,0,5,23,310
Boston,0,0,5,10,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,10,39
Brasilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,170,8
Bratislava,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,0,0,12,286
Bridgetown,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,5,130
Brisbane,0,0,5,5,0,0,0,0,0,0,0,5,0,10,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,43,0,49,0,0,63,153
Brussels,0,0,0,5,0,0,0,0,0,0,0,5,0,21,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,73,86,50,5,0,171,816
Bucharest,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,18,143
Budapest,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,5,20,0,0,32,318
Buenos Aires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,0,0,5,43,166
Bujumbura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
